title,abstract,year,pmid,source,paperId
Optimizing clinical monitoring and management guidelines for capivasertib in HR-positive/HER2-negative advanced breast cancer: expert opinion.,"Capivasertib, an AKT inhibitor, approved in combination with fulvestrant for hormone receptor-positive, human epidermal growth factor receptor 2-negative advanced breast cancer with ≥1 PIK3CA, AKT1, and/or PTEN alterations, significantly improved progression-free survival in the CAPItello-291 phase 3 trial. However, capivasertib-associated adverse events of diarrhea, rash, and hyperglycemia may require proactive management. This article provides practical recommendations to support prevention and early intervention to optimize adherence and treatment outcomes.",2025.0,41345397.0,PMC,
Immune and Growth Factor Signaling Pathways Are Associated with Pathologic Complete Response to an Anti-Type I Insulin-like Growth Factor Receptor Regimen in Patients with Breast Cancer.,"<h4>Purpose</h4>Pretreatment specimens from patients treated on the I-SPY2 neoadjuvant breast cancer trial were studied to identify prespecified biomarkers associated with response to the regimen of paclitaxel, the anti-type I insulin-like growth factor receptor (IGF-1R) antibody ganitumab, and metformin (PGM) followed by doxorubicin and cyclophosphamide (AC) compared with control therapy (paclitaxel followed by AC). The primary endpoint of this trial is pathologic complete response (pCR).<h4>Experimental design</h4>One hundred six patients treated with PGM and 119 contemporary controls were evaluated using laser capture microdissection and reverse-phase protein array to evaluate 32 prespecified potential predictive biomarkers in the IGF-1R pathway and 109 additional exploratory endpoints.<h4>Results</h4>Total levels of IGF-1R were poorly correlated with phosphorylated IGF-1R/insulin receptor (IR). Higher levels of phosphorylated IGF-1R/IR were associated with an increased likelihood of obtaining pCR, especially in the hormone receptor (HR)-positive subgroup. Markers of immune response also showed an association with pCR but differed between HR+ and HR- subgroups. In HR- tumors, phospho-STAT1 Y701 and low levels of phospho-p27 associated with pCR. These relationships were not observed in patients treated with control chemotherapy.<h4>Conclusions</h4>Activation status of IGF-1R/IR associated with increased pCR to PGM in HR+ breast cancers. Immune activation markers were also associated with response in HR+ and HR- subgroups. Thus, IGF-1R may directly regulate tumor biology and associate with immune response to therapy.",2025.0,40905691.0,PMC,
Machine learning-driven drug repurposing for HER2-positive breast cancer.,"Breast cancer, particularly the Human Epidermal Growth Factor Receptor 2 (HER2)-positive subtype, remains a significant clinical challenge due to its aggressive nature and the frequent development of resistance to targeted therapy. In this study, we created a comprehensive machine-learning (ML)-based drug repurposing framework to identify new HER2 inhibitors among FDA-approved drugs. A carefully curated dataset of 13,944 HER2 bioactivity records from BindingDB was used to build high-accuracy predictive models. This involved optimizing descriptors, reducing dimensionality, and selecting key features. The Random Forest model trained on 75 optimized descriptors demonstrated the best performance (R² = 0.81, RMSE = 0.86, MAE = 0.6483). This allowed us to understand structure-activity relationships and perform reliable virtual screening of 4,099 FDA-approved drugs. Docking studies against HER2 wild-type (7PCD) revealed strong interactions, with scores from -10.5 to -7.5 kcal/mol. For the exon-20 insertion mutant (8U8X), the affinities were even higher (-11.6 to -8.0 kcal/mol), exceeding the reference co-crystal ligand in both cases. FDA0870 (Timolol maleate) consistently ranked as a top dual inhibitor, forming stable hydrogen bonds and hydrophobic contacts with key catalytic residues of both wild-type and mutant HER2. Molecular dynamics simulations supported its stability, with wild-type HER2-FDA0870 complexes showing an average protein RMSD of 3.4 Å and a ligand RMSD of 2.9 Å, whereas mutant complexes had an average protein RMSD of 3.9 Å and a ligand RMSD of 2.1 Å over extended trajectories. Persistent interactions with residues such as ASP863/ASP867, THR862/THR866, and LYS753 were observed. ADMET analysis indicated that the drug had good drug-like properties, moderate permeability, a high unbound fraction, and acceptable safety features, suggesting its potential for further development. This integrated ML, docking, MD, and ADMET approach demonstrates that FDA0870 is a promising repurposed dual inhibitor for HER2-positive and HER2-mutant breast cancer, highlighting the value of computational pipelines in speeding up the search for targeted cancer therapies.",2026.0,41942578.0,PMC,
Targeting AMPK for Cancer Therapy: Metabolic Reprogramming as a Therapeutic Strategy.,"AMP-activated protein kinase (AMPK) is a highly conserved serine/threonine kinase that functions as a central regulator of cellular energy status. In cancer, where metabolic reprogramming enables rapid proliferation and survival under stress, AMPK functions as a metabolic checkpoint that restrains tumor growth by inhibiting biosynthetic pathways and promoting catabolic processes, such as autophagy and fatty acid oxidation. Given its role in opposing many hallmarks of cancer metabolism, AMPK has attracted significant interest as a therapeutic target. This review examines the molecular mechanisms by which AMPK influences tumor progression and evaluates the preclinical and clinical evidence for pharmacological AMPK activation using agents such as metformin, phenformin, and canagliflozin. While promising anti-tumor effects have been reported in specific contexts-such as HER2-positive breast cancer, colorectal cancer, and metabolically distinct lung cancer subtypes-clinical efficacy remains variable. Limitations include indirect activation mechanisms, low tissue penetrance, tumor heterogeneity, and lack of reliable biomarkers for patient selection. We discuss emerging strategies to overcome these challenges, including combination therapies, metabolic stratification, and the development of direct AMPK activators or mRNA-based delivery platforms. Together, these insights support a renewed focus on AMPK as a modifiable node in cancer metabolism and a candidate for integration into precision oncology frameworks.",2025.0,41050082.0,PMC,
Neratinib and metformin: A novel therapeutic approach against HER2-Positive Breast Cancer.,"<h4>Background</h4>HER2-positive breast cancer (BC) is highly aggressive with a poor prognosis. It is driven by HER2 oncoprotein activation/crosstalk with other receptors like EGFR/(HER1), HER3, and HER4, in addition to IGF-1R, making these receptors ideal therapeutic targets as they are expressed/overexpressed in this subtype. We postulated that targeting HER2 and IGF-1R together is a promising therapy for HER2-positive BC. Thus, we explored the outcome of a novel combination treatment using neratinib, a pan-HER inhibitor, and metformin, an IGF-1R inhibitor, on HER2-positive BC cells.<h4>Methods</h4>In this investigation, we used cellular and molecular biology techniques in addition to an angiogenesis model and tissue microarray analysis.<h4>Results</h4>Our data revealed that this combination therapy significantly reduced cell viability compared to individual treatments and exhibited a synergistic effect in HER2-positive BC cells. Moreover, the combination disrupted cell cycle progression and inhibited colony formation, and invasion of HER2-positive BC cells; this is accompanied by the deregulation of HER1-3 and IGF-1R expression patterns, in addition to Caspase-3, BCL2, Fascin, and Vimentin. Moreover, key regulator molecular pathways, including, ERK1/2, AKT, p38 MAPK, and mTOR, were significantly downregulated upon treatment with neratinib and metformin combination. Additionally, our data pointed out that neratinib and metformin combination inhibited angiogenesis, in-ovo, an important biological event in cancer progression. Finally, using a cohort of 55 HER2-positive BC samples, we revealed that HER2 and IGF-1R are co-expressed in most of the cases.<h4>Conclusions</h4>These findings suggest that neratinib and metformin combination can present a promising strategy for targeting multiple pathways in HER2-positive BC.",2025.0,40252335.0,PMC,
Alpelisib and Fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the German PRAEGNANT trial.,"<h4>Purpose</h4>Mutations in PIK3CA are one of several actionable mutations for patients with hormone receptor positive, human epidermal growth factor receptor 2 negative breast cancer. Alpelisib in combination with fulvestrant was the first approved PI3K inhibitor and was introduced in clinical practice in 2019. A lack of evidence for the use of alpelisib in the context of current treatment options like cyclin-dependent 4/6 inhibitor (CDK4/6i), highlights the importance of this analysis. We provide a real-world analysis of the use of alpelisib with the prospective German PRAEGNANT registry (NCT02338167).<h4>Methods</h4>57 patients with advanced breast cancer receiving alpelisib and fulvestrant were identified. 55 Patients had received prior CDK4/6i therapy. Progression-free survival (PFS) and overall survival (OS) were calculated for all patients, and stratified according CDK4/6i pre-treatment, using the Kaplan-Meier method. Subgroups (age, line of therapy, concomitant disease among others), somatic PIK3CA mutations, reasons for discontinuation and adverse events (AEs) were analyzed.<h4>Results</h4>The median PFS was 5.0 (95% confidence interval [CI], 3.1-9.4) months, and the median OS was 20.1 (95% CI, 14.6-30.8) months. Line of therapy and concomitant diseases appeared to affect PFS, while the line of therapy and preexisting diabetes influenced OS. However, subgroups were too small for statistical testing. Discontinuation was mainly due to tumor progression (56.1%). Hyperglycemia, rash and diarrhea were the most documented AEs.<h4>Conclusion</h4>This prospective real-world analysis shows slightly shorter median PFS and OS times compared with the pivotal trials. Patients in our analyses received alpelisib in later therapy lines, which may explain the poorer outcome.",2026.0,41925922.0,PMC,
Combined anti-tumor effects of metformin and azacitidine in breast cancer cells.,"BACKGROUND: Breast cancer is the most common cancer in women. While treatments exist, combination therapies may enhance effectiveness and reduce drug resistance. Metformin-a common diabetes medication has shown promising anticancer properties. Azacitidine, primarily an epigenetic regulator, also exhibits anticancer effects. METHODS AND MATERIALS: The GSE45827 dataset was analyzed for differentially expressed genes (DEGs) using GEO2R and ShinyGO tools. Protein-protein interaction (PPI) networks were constructed with STITCH and Cytoscape, and key genes were identified using MCODE. Gene expression profiles of selected targets were compared between tumor and matched normal tissues using GTEx Portal and TNMPlot databases. Kaplan-Meier plotter was used for survival analysis, and potential drug targets were identified with Way2Drug. In vitro effects of metformin, azacitidine, and their combination on MDA-MB-231 cells were assessed using MTT assay, isobologram analysis, wound-healing assay, and real-time PCR for CCND1, ELAVL1, and EIF4EBP1 gene expression. Statistical analysis was performed. RESULTS: Bioinformatics analysis identified CCND1, ELAVL1, and EIF4EBP1 as key genes in breast cancer pathogenesis. MTT assays showed that both drugs reduced cell viability in a dose-dependent manner. Isobologram analysis confirmed a strong synergistic effect from the combination. Wound-healing assays revealed significant inhibition of cancer cell migration. Real-time qPCR showed gene expression changes consistent with inhibition of cancer progression. CONCLUSION: The metformin-azacitidine combination synergistically suppresses breast cancer cell proliferation, likely through coordinated modulation of CCND1, ELAVL1, and EIF4EBP1. These findings highlight the potential of this novel drug combination in breast cancer treatment.",2025.0,41034794.0,PMC,
Therapy as a State-Generator: Dynamic Phenotypic Landscapes and Adaptive Stress Circuits in Chemotherapy Resistance of Breast Cancer.,"Chemotherapy resistance remains a major obstacle to durable cancer control, yet its underlying mechanisms cannot be fully explained by genetic mutations alone. Increasing evidence suggests that therapeutic stress induces dynamic adaptive programs that reshape tumor phenotypic landscapes. Here, we propose a systems-level framework in which chemotherapy resistance emerges from the stabilization of interconnected stress-response circuits integrating redox signaling, metabolic reprogramming, and transcriptional plasticity. In this model, cytotoxic therapies function as state-generating perturbations that elevate oxidative stress and activate adaptive buffering systems, including NADPH-dependent redox homeostasis, replication stress tolerance, and integrated stress response (ISR)-mediated translational reprogramming. These adaptive modules collectively expand the accessibility of therapy-tolerant phenotypic states within tumor cell populations. Importantly, these circuits coordinate mitochondrial redox homeostasis, metabolic NADPH regeneration, and epigenetic-transcriptional plasticity to sustain cellular survival under persistent oxidative pressure. Such adaptive redox networks not only stabilize stress-tolerant phenotypes but also create vulnerabilities that can be therapeutically exploited. From a translational perspective, this framework suggests that effective strategies to overcome chemotherapy resistance should move beyond single-target inhibition and instead focus on circuit-guided therapeutic interventions that simultaneously destabilize redox buffering systems, constrain phenotypic plasticity, and disrupt metabolic stress adaptation. By conceptualizing therapy resistance as a dynamic redox-regulated state-space phenomenon, this model provides a mechanistic foundation for the development of evolution-aware and plasticity-constraining therapeutic strategies. Targeting the coordinated redox-metabolic-translational circuits that maintain tumor adaptability may therefore represent a promising direction for next-generation redox therapeutics in cancer.",2026.0,42072101.0,PMC,
Window-of-opportunity trials to screen effective agents and optimize dose in breast cancer prevention.,Window-of-opportunity trials are a path to screen effective agents and optimize dose in breast cancer risk reduction. We review the scientific evidence regarding the utility of window-of-opportunity trials to screen effective agents and optimize dose for successful risk reduction/interception of breast cancer. Low-dose tamoxifen was evaluated in a window-of-opportunity trial and then validated in a phase-III trial. We are now studying similar activity with low-dose exemestane.,2025.0,40490470.0,PMC,
Metformin-Mediated Glycaemic Regulation as a Potential Strategy for Breast Cancer Prevention.,"<h4>Introduction</h4>Metformin, the common anti-hyperglycemic agent, is emerging with pharmacological significance as an effective anti-cancer modulator. Its efficacy as an anti-cancer modulator is reported in pre-clinical and clinical studies. Therefore, an attempt was made to identify the possible in vitro anti-cancer molecular mechanisms studied on breast cancer (BC) cell lines.<h4>Methods</h4>An advanced literature search was conducted in the PubMed database using search terms ""Metformin, Cell culture, Breast neoplasms."" Different anti-cancer molecular mechanisms induced by metformin (MET) identified in cell culture studies are presented in this paper.<h4>Results</h4>It was identified that MET induces molecular pathways that exert anti-cancer effects when treated on BC cells. Inhibition of oxidative phosphorylation, adenosine monophosphate-activated protein kinase mediated anticancer effects, anti-proliferation and inhibition of cell migration, alteration of tumor micro-environment, synergetic effects with conventional chemotherapies and other potential molecules, induced apoptosis and ferroptosis were mainly identified as MET-induced pathways that affect BC cells.<h4>Conclusion</h4>Metformin induces diverse anti-cancer biochemical pathways through which it exhibits a potential to be used as an anti-cancer therapeutic in BC.",2026.0,41603225.0,PMC,
