title,abstract,year,pmid,source,paperId
Optimizing clinical monitoring and management guidelines for capivasertib in HR-positive/HER2-negative advanced breast cancer: expert opinion.,"Capivasertib, an AKT inhibitor, approved in combination with fulvestrant for hormone receptor-positive, human epidermal growth factor receptor 2-negative advanced breast cancer with ≥1 PIK3CA, AKT1, and/or PTEN alterations, significantly improved progression-free survival in the CAPItello-291 phase 3 trial. However, capivasertib-associated adverse events of diarrhea, rash, and hyperglycemia may require proactive management. This article provides practical recommendations to support prevention and early intervention to optimize adherence and treatment outcomes.",2025.0,41345397.0,PMC,
Therapy as a State-Generator: Dynamic Phenotypic Landscapes and Adaptive Stress Circuits in Chemotherapy Resistance of Breast Cancer.,"Chemotherapy resistance remains a major obstacle to durable cancer control, yet its underlying mechanisms cannot be fully explained by genetic mutations alone. Increasing evidence suggests that therapeutic stress induces dynamic adaptive programs that reshape tumor phenotypic landscapes. Here, we propose a systems-level framework in which chemotherapy resistance emerges from the stabilization of interconnected stress-response circuits integrating redox signaling, metabolic reprogramming, and transcriptional plasticity. In this model, cytotoxic therapies function as state-generating perturbations that elevate oxidative stress and activate adaptive buffering systems, including NADPH-dependent redox homeostasis, replication stress tolerance, and integrated stress response (ISR)-mediated translational reprogramming. These adaptive modules collectively expand the accessibility of therapy-tolerant phenotypic states within tumor cell populations. Importantly, these circuits coordinate mitochondrial redox homeostasis, metabolic NADPH regeneration, and epigenetic-transcriptional plasticity to sustain cellular survival under persistent oxidative pressure. Such adaptive redox networks not only stabilize stress-tolerant phenotypes but also create vulnerabilities that can be therapeutically exploited. From a translational perspective, this framework suggests that effective strategies to overcome chemotherapy resistance should move beyond single-target inhibition and instead focus on circuit-guided therapeutic interventions that simultaneously destabilize redox buffering systems, constrain phenotypic plasticity, and disrupt metabolic stress adaptation. By conceptualizing therapy resistance as a dynamic redox-regulated state-space phenomenon, this model provides a mechanistic foundation for the development of evolution-aware and plasticity-constraining therapeutic strategies. Targeting the coordinated redox-metabolic-translational circuits that maintain tumor adaptability may therefore represent a promising direction for next-generation redox therapeutics in cancer.",2026.0,42072101.0,PMC,
Window-of-opportunity trials to screen effective agents and optimize dose in breast cancer prevention.,Window-of-opportunity trials are a path to screen effective agents and optimize dose in breast cancer risk reduction. We review the scientific evidence regarding the utility of window-of-opportunity trials to screen effective agents and optimize dose for successful risk reduction/interception of breast cancer. Low-dose tamoxifen was evaluated in a window-of-opportunity trial and then validated in a phase-III trial. We are now studying similar activity with low-dose exemestane.,2025.0,40490470.0,PMC,
Plant extracts and phytochemicals in canine and feline mammary cancer models: current evidence and comparative perspectives.,"Mammary tumors are among the most common neoplasms in dogs and cats, and malignant forms are clinically important in both species. Surgery remains the main treatment approach and may be combined with other treatment modalities, but advanced cases are often associated with recurrence and limited responsiveness to conventional therapies. Phytochemicals and plant extracts have received attention as potential adjuvant agents that can modulate pathways associated with oncogenesis and treatment resistance. Natural products are often accessible and relatively inexpensive, and their perception as well-tolerated agents may increase owner acceptance. Some plant extracts and phytochemicals, including Euphorbia royleana extract, celastrol, and homoharringtonine have shown potent preclinical activity in canine mammary tumor cell lines and xenograft models, but data for feline mammary tumors are still limited. However, their safety and efficacy depend on multiple factors such as the compound, dose, formulation, and species. Further studies are required for clinical translation, as species-specific pharmacokinetics significantly affect efficacy and safety. This review summarizes current knowledge on plant extracts and phytochemicals in canine and feline mammary tumors, focusing on their preclinical evidence, limitations, and future translational challenges in veterinary oncology.",2026.0,42307841.0,PMC,
Combined anti-tumor effects of metformin and azacitidine in breast cancer cells.,"BACKGROUND: Breast cancer is the most common cancer in women. While treatments exist, combination therapies may enhance effectiveness and reduce drug resistance. Metformin-a common diabetes medication has shown promising anticancer properties. Azacitidine, primarily an epigenetic regulator, also exhibits anticancer effects. METHODS AND MATERIALS: The GSE45827 dataset was analyzed for differentially expressed genes (DEGs) using GEO2R and ShinyGO tools. Protein-protein interaction (PPI) networks were constructed with STITCH and Cytoscape, and key genes were identified using MCODE. Gene expression profiles of selected targets were compared between tumor and matched normal tissues using GTEx Portal and TNMPlot databases. Kaplan-Meier plotter was used for survival analysis, and potential drug targets were identified with Way2Drug. In vitro effects of metformin, azacitidine, and their combination on MDA-MB-231 cells were assessed using MTT assay, isobologram analysis, wound-healing assay, and real-time PCR for CCND1, ELAVL1, and EIF4EBP1 gene expression. Statistical analysis was performed. RESULTS: Bioinformatics analysis identified CCND1, ELAVL1, and EIF4EBP1 as key genes in breast cancer pathogenesis. MTT assays showed that both drugs reduced cell viability in a dose-dependent manner. Isobologram analysis confirmed a strong synergistic effect from the combination. Wound-healing assays revealed significant inhibition of cancer cell migration. Real-time qPCR showed gene expression changes consistent with inhibition of cancer progression. CONCLUSION: The metformin-azacitidine combination synergistically suppresses breast cancer cell proliferation, likely through coordinated modulation of CCND1, ELAVL1, and EIF4EBP1. These findings highlight the potential of this novel drug combination in breast cancer treatment.",2025.0,41034794.0,PMC,
Non-coding RNA-mediated mechanisms underlying tamoxifen resistance in breast cancer.,"Tamoxifen remains a cornerstone therapy for estrogen receptor-positive (ER⁺) breast cancer; however, the emergence of drug resistance significantly limits its therapeutic success. Growing evidence has revealed that non-coding RNAs (ncRNAs), including microRNAs (miRNAs), long non-coding RNAs (lncRNAs), and circular RNAs (circRNAs), act as pivotal regulators of the molecular networks driving tamoxifen resistance. These “silent regulators” modulate multiple signaling pathways, including PI3K/AKT, MAPK, and estrogen receptor signaling, through mechanisms such as post-transcriptional regulation, epigenetic modification, and competitive endogenous RNA (ceRNA) interactions. Dysregulated ncRNAs can alter drug efflux, apoptosis, cell cycle progression, and epithelial–mesenchymal transition (EMT), contributing to reduced tamoxifen sensitivity and tumor recurrence. Our knowledge of BC resistance to tamoxifen will be aided by the new molecular insights into the mechanistic understanding of resistance to endocrine treatment as a whole that come from the growing functions of ncRNAs as miRNA sponges, transcriptional scaffolds, and ceRNAs, among others. The biosynthesis and molecular properties of ncRNAs, their involvement in tamoxifen resistance, and their potential use as therapeutic targets or diagnostic biomarkers are the main topics of this thorough analysis. In order to perhaps serve as a foundation for upcoming RNA-based therapies aimed at overcoming endocrine resistance in ER⁺ BC, we would also consolidate the current body of knowledge.",2026.0,41935169.0,PMC,
From Haemorrhagic Shock to Years of Survival: A Case Report of PIK3CA-Mutated Estrogen Receptor-Positive and Human Epidermal Growth Factor Receptor 2-Negative (ER+/HER2-) Metastatic Breast Cancer With Satellite Lesions.,"Metastatic hormone-receptor-positive (HR+) human epidermal growth factor receptor-2-negative (HER2-) breast cancer remains the most common subtype of metastatic breast cancer, and is increasingly approached as a chronic condition. Genomic alterations in this disease subtype can create opportunities for targeted intervention, and advances in systemic therapy and radiotherapy have extended survival. However, real-world management continues to be shaped by treatment-related toxicities, cost considerations, and the evolving nature of tumour biology. We describe a 69-year-old Georgian woman who presented in haemorrhagic shock due to a neglected ulcerated breast mass and was subsequently found to have de novo stage IV HR+/HER2- metastatic breast cancer. She achieved a partial remission with induction docetaxel, but over three years she required multiple lines of systemic therapy, including sequential endocrine agents, cyclin-dependent kinase 4 and 6 (CDK4/6) inhibitor ribociclib, capecitabine, and eventually the PI3Kα inhibitor alpelisib following identification of an exon 9 PIK3CA mutation on next-generation sequencing. Alpelisib had to be discontinued because of severe hyperglycaemia. The case illustrates how repeated biopsies and genomic profiling can reveal actionable targets yet highlights the difficulties in balancing efficacy, toxicity, cost, and patient preferences. It also underscores the importance of multidisciplinary care, judicious use of palliative radiotherapy, and advocacy for equitable access to modern therapies.",2025.0,41080357.0,PMC,
Methylglyoxal-derived glycated albumin enhances the stemness potential of invasive ductal carcinoma-derived breast cancer stem-like cell line KAIMRC1.,"Type 2 diabetes mellitus (T2DM) is a risk factor for breast cancer (BC) development and recurrence due to multifactorial mechanisms, including the generation of glycated proteins under hyperglycemic conditions. Emerging evidence indicates that hyperglycemia promotes the formation and expansion of BC stem-like cells (BCSC), contributing to worse outcomes in patients with T2DM. To support early detection and personalized therapy, there is an urgent need to identify novel biomarkers that specifically target BCSCs in patients with T2DM. The present study examined the effects of glycated albumin (GA) on the cellular functions of KAIMRC1, a naturally immortalized BCSC line derived from invasive ductal carcinoma (IDC), the primary breast carcinoma developed in patients with T2DM. Cells were subjected to <i>in vitro</i> assays, including soft agar colony formation, real-time monitoring of cell proliferation, motility and invasion through a reconstituted basement membrane using the xCELLigence system and western blotting. A triple-negative BC cell line was used as a comparator. Aldehyde dehydrogenase (ALDH) activity was quantified using a biochemical assay. As expected, KAIMRC1 cells exhibited high ALDH activity, a characteristic feature of cancer stem-like cells (CSCs). GA induced dose-dependent increases in KAIMRC1 cell proliferation, motility, invasion and colony formation and was associated with elevated levels of the oncoprotein phosphorylated-ERK1/2, the receptor for advanced glycation end products (RAGE) and the stemness-associated proteins OCT3/4 and vimentin. GA-treated KAIMRC1 cells showed notable invasive capacity despite slow proliferation, consistent with known metastatic potential of quiescent CSCs. Conversely, unglycated albumin had no detectable biological effects except for an anti-mitogenic response at high concentration. Bioinformatics analyses showed that vimentin mRNA was upregulated in patients with BC and DM and was associated with a poor prognosis in patients with BC. RAGE neutralization attenuated GA-induced vimentin upregulation. Altogether, these findings show that GA exerts pro-tumorigenic effects in IDC-derived CSCs and upregulates vimentin protein expression via RAGE, highlighting the GA-RAGE axis as a potential therapeutic target and supporting vimentin as a promising prognostic marker for invasive BC in patients with DM.",2026.0,41918804.0,PMC,
Immune and Growth Factor Signaling Pathways Are Associated with Pathologic Complete Response to an Anti-Type I Insulin-like Growth Factor Receptor Regimen in Patients with Breast Cancer.,"<h4>Purpose</h4>Pretreatment specimens from patients treated on the I-SPY2 neoadjuvant breast cancer trial were studied to identify prespecified biomarkers associated with response to the regimen of paclitaxel, the anti-type I insulin-like growth factor receptor (IGF-1R) antibody ganitumab, and metformin (PGM) followed by doxorubicin and cyclophosphamide (AC) compared with control therapy (paclitaxel followed by AC). The primary endpoint of this trial is pathologic complete response (pCR).<h4>Experimental design</h4>One hundred six patients treated with PGM and 119 contemporary controls were evaluated using laser capture microdissection and reverse-phase protein array to evaluate 32 prespecified potential predictive biomarkers in the IGF-1R pathway and 109 additional exploratory endpoints.<h4>Results</h4>Total levels of IGF-1R were poorly correlated with phosphorylated IGF-1R/insulin receptor (IR). Higher levels of phosphorylated IGF-1R/IR were associated with an increased likelihood of obtaining pCR, especially in the hormone receptor (HR)-positive subgroup. Markers of immune response also showed an association with pCR but differed between HR+ and HR- subgroups. In HR- tumors, phospho-STAT1 Y701 and low levels of phospho-p27 associated with pCR. These relationships were not observed in patients treated with control chemotherapy.<h4>Conclusions</h4>Activation status of IGF-1R/IR associated with increased pCR to PGM in HR+ breast cancers. Immune activation markers were also associated with response in HR+ and HR- subgroups. Thus, IGF-1R may directly regulate tumor biology and associate with immune response to therapy.",2025.0,40905691.0,PMC,
Guidance for Canadian Breast Cancer Practice: National Consensus Recommendations for the Systemic Treatment of Patients with HR+/HER2- Metastatic Breast Cancer 2025.,"Hormone receptor positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) breast cancer accounts for approximately two-thirds of all breast cancers. The treatment landscape for HR+/HER2- metastatic breast cancer has evolved in recent years, with multiple new therapies demonstrating clinical efficacy and improved patient outcomes. To provide evidence-informed guidance on best practices in the management of patients with HR+/HER2- metastatic breast cancer in Canada, consensus recommendations were developed by Research Excellence, Active Leadership Canadian Breast Cancer Alliance (REAL Alliance), a standing nucleus committee with both clinical-academic oncologists from across Canada and representatives from Breast Cancer Canada, a patient advocacy organization. Recommendations were generated using a modified Delphi approach involving up to three anonymous voting rounds, with a predefined consensus threshold of 75%. These consensus recommendations offer guidance on optimal therapeutic strategies for HR+/HER2- metastatic breast cancer within the Canadian landscape, including integration of precision oncology and targeted therapies, optimal sequencing of therapies, and the importance of balancing the benefits of treatments with patient quality of life and preferences.",2026.0,41744870.0,PMC,
"Breast cancer immunotherapy: mechanisms of immune evasion, biomarkers, and emerging therapeutic strategies.","Breast cancer remains the most prevalent malignancy worldwide and a major cause of cancer-related mortality, representing a heterogeneous and therapeutically challenging disease. Although immunotherapy has revolutionized the treatment of several malignancies, its efficacy in breast cancer is constrained by tumor heterogeneity, low immunogenicity, particularly in hormone receptor (HR)-positive subtypes, and diverse immune evasion mechanisms. This review provides a comprehensive overview of current advances in understanding key mechanisms of breast tumor immune evasion and their overcoming by modern immunotherapy approaches, including immune checkpoint inhibitors (ICIs), cancer vaccines, and adoptive cell therapies, emphasizing biomarker-guided patient selection. We examine the roles of tumor-infiltrating lymphocytes (TILs), tumor mutational burden (TMB), antigen presentation, and programmed death-ligand 1 (PD-L1) expression in the tumor immune evasion and predicting response to immunotherapy. Our main focus is also on emerging strategies, including neoantigen- and DNA/RNA-based vaccines, chimeric and engineered antigen receptors, bispecific T-cell engagers, oncolytic viruses, and targeted immunotherapeutic approaches, which are promising tools for overcoming immune resistance. Furthermore, we evaluate rational combinations of immunotherapy with chemotherapy, radiotherapy, and targeted agents, added by immunosorption as an essential detoxification approach. Finally, we explore future directions emphasizing personalized, multimodal immunotherapy guided by multiomics and spatial profiling, integrated with artificial intelligence. Finally, we synthesize a framework for advancing immunotherapy in breast cancer and identify key areas requiring further translational and clinical investigation.",2026.0,42035063.0,PMC,
"A Cori cycle-related gene signature predicts prognosis, immune microenvironment, and drug response in breast cancer.","<h4>Background</h4>Breast cancer remains the most common malignancy among women worldwide. Metabolic reprogramming, particularly involving the Cori cycle, plays a crucial role in tumor progression and therapy resistance. However, the prognostic and immunological implications of Cori cycle-related genes (CCRGs) in breast cancer remain underexplored. This study aimed to integrate multi-omics data and machine learning to construct a CCRG-based prognostic signature and evaluate its predictive performance and clinical relevance in breast cancer.<h4>Methods</h4>We integrated multi-omics data from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) databases. A machine learning approach was employed to construct a prognostic signature based on CCRGs. The model was validated across independent cohorts. Immune infiltration, drug sensitivity, somatic mutations, and functional enrichment analyses were performed to elucidate the biological and clinical relevance of the signature. Single-cell and pan-cancer analyses were conducted to assess gene expression and functional associations at cellular and cross-cancer levels.<h4>Results</h4>A three-gene signature (<i>HK1</i>, <i>PGK1</i>, <i>PGAM1</i>) was identified and used to stratify patients into high- and low-risk groups with distinct survival outcomes. The risk score (RS) was significantly associated with advanced clinicopathological features, immunosuppressive microenvironments, and altered drug sensitivity. Enrichment analyses revealed activation of glycolysis, cell cycle, and PI3K-AKT pathways in high-risk patients. The signature also correlated with tumor mutational burden (TMB) and specific mutational patterns. Pan-cancer analysis confirmed the broad relevance of CCRGs across multiple cancer types.<h4>Conclusions</h4>We developed and validated a robust CCRG signature that effectively predicts prognosis, immune contexture, and therapeutic response in breast cancer. This signature offers novel insights into metabolic immunosuppression and provides a potential tool for risk stratification and personalized treatment strategies.",2026.0,41674983.0,PMC,
"Breast Cancer and Cardiovascular Risk: The Role of Dyslipidemia, Inflammation and Obesity.","Cardiovascular diseases, malignancy, and diabetes mellitus are the most common chronic non-communicable diseases affecting the population in Serbia. According to The Cancer Registry of the Republic of Serbia, breast cancer is the most common cancer affecting women in Serbia. Every year, 4600 women get diagnosed with BC, and 1600 women die from this disease. Every eighth woman in Serbia is diagnosed with BC. This review aims to summarize clinical and theoretical information about breast cancer, metabolic syndrome and cardiovascular risk connection. The literature search was conducted through PubMed, Google Scholar and cross-references in January 2024. We concluded that although there is a well-established connection between cardiovascular risk, metabolic syndrome, inflammation, dyslipidemia, obesity, diabetes mellitus and breast cancer, more multicenter prospective clinical studies are needed to establish the precise association and pathophysiological mechanisms.",2026.0,41594284.0,PMC,
"Obesity, chronic breast inflammation and carcinogenesis: Molecular pathways and clinical implications (Review).","Obesity is a global epidemic strongly associated with increased breast cancer (BC) risk and mortality, particularly in postmenopausal women. Obesity‑induced chronic breast inflammation drives carcinogenesis via dysregulated adipokine signaling (leptin and adiponectin), insulin resistance, hyperinsulinemia and pro‑inflammatory cytokines (TNF‑α and IL‑6). These factors activate oncogenic pathways (NF‑κB and PI3K/AKT/mTOR pathways), which promote DNA damage, cell proliferation and immunosuppression. Clinically, obesity is associated with advanced tumor presentation, reduced treatment efficacy and poorer survival compared with those of normal‑weight patients with BC. Despite progress, the molecular interactions between obesity‑related inflammation and BC remain incompletely understood, and diagnostic/prognostic tools for obese patients require refinement. The present review synthesizes current evidence on obesity‑BC mechanisms and their clinical translation to inform prevention and precision oncology strategies.",2026.0,41312718.0,PMC,
Optimizing second-line endocrine-based treatment in HR positive HER2 negative metastatic breast cancer: a comprehensive expert statement from the Gulf Cooperation Council Region.,"Optimizing second-line therapy for hormone receptor-positive (HR+) and human epidermal growth factor receptor 2-negative (HER2-negative) metastatic breast cancer (mBC) in the Gulf Cooperation Council (GCC) is challenged by variations in diagnostic capacity, drug accessibility, comorbidities, and treatment pathways compared with other regions. While international guidelines provide an overarching evidence framework for breast cancer management, their practical application at the regional level often requires adaptation to local healthcare resources. There is an unmet need to optimize the treatment sequencing strategies for patients with HR+/HER2-negative mBC in the GCC region through expert guidance. Given this context, a virtual advisory board involving 10 oncologists from the GCC region was convened in November 2024. The panel aimed to review current evidence and develop pragmatic, implementable recommendations for second-line management. This consensus uniquely contextualizes global evidence for GCC-specific healthcare constraints, addressing gaps in diagnostic access, affordability, and real-world feasibility, while providing treatment recommendations that help clinicians refine therapeutic strategies and incorporate patient preferences for improved outcomes. The panel recommends early genomic testing (PIK3CA, AKT, BRCA, ESR1) to guide therapy, prioritizing targeted agents such as oral SERDs and PI3K/AKT inhibitors in second-line sequencing, cautious use of alpelisib in diabetic patients, and incorporating patient preferences through shared decision-making and multidisciplinary care.",2025.0,41658572.0,PMC,
